,South Bay virus,Suffolk virus,Blacklegged tick phlebovirus 1,Blacklegged tick phlebovirus 2,Blacklegged tick phlebovirus 3,Powassan virus,Ixodes scapularis associated virus 1,Ixodes scapularis associated virus 2,Borreliella burgdorferi,Borrelia mayonii,Borrelia miyamotoi,Babesia microti,Babesia odocoilei,Anaplasma phagocytophilum,Rickettsia,Ehrlichia,Wolbachia,Novel Worm,Escherichia,Cladosporium,Pseudomonas,Stenotrophomonas,Bradyrhizobium,Zymoseptoria,Bacillus coagulans,Delftia acidovorans,Aureobasidium,Alternaria,Ralstonia solanacearum,Mycobacterium spp.,Leptosphaeria,Colletotrichum,Aspergillus
Tick 1,2033.7,0,616.7,0,0,0,0,0,179.7,0,0,0,0,0,0,151.3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 2,6281.1,0,532.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 3,12403.3,0,427.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 4,0,0,63.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 6,0,0,727.7,0,0,0,0,0,0,0,0,0,0,734.8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 7,0,0,88.8,0,0,0,0,0,0,0,0,0,0,0,46.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 8,185.5,0,129.2,0,0,0,0,0,0,0,0,389.7,0,31.3,66.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 9,0,0,0,425.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 10,445.2,0,110.2,0,0,1175.7,0,0,99.4,0,0,0,0,0,36.7,0,860.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 11,0,0,51.5,0,0,0,0,0,0,0,0,0,0,0,20.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 12,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 13,0,0,205.5,0,0,0,0,0,0,0,0,0,0,0,65.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 14,17.7,0,23,101.5,0,0,0,0,0,0,0,0,113.9,0,42.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 15,4052.2,27.4,0,154.6,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 16,0,0,0,0,0,0,0,0,0,0,0,147.6,0,0,33,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 17,1133.7,0,0,50.4,0,0,0,0,0,0,0,0,0,0,37.3,0,0,24.1,0.0,0.0,309.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 18,0,0,0,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 19,0,0,0,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 20,0,69.6,122.8,0,0,0,0,0,0,0,0,0,0,726.1,0,0,0,58.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 21,5058.3,0,412.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 22,0,0,114.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 23,3479.6,0,28,0,34.5,0,0,0,0,0,0,0,0,0,71.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 24,0,0,212.7,0,0,4988,0,0,354.5,0,0,0,240.1,0,38.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 25,5878.5,0,345.1,0,38.1,0,0,0,378,0,0,0,0,0,0,0,0,104.6,0.0,0.0,0.0,0.0,24.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 26,3328,0,177.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 27,14380.2,708.7,799,0,0,0,0,0,963.5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 28,13992.3,161.3,521.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 29,0,0,791.8,0,0,0,0,0,0,0,0,0,0,0,0,116.4,0,0,0.0,0.0,0.0,0.0,28.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 30,3458,0,13,0,0,0,0,0,0,0,0,0,0,0,22.8,0,33.2,483.8,0.0,0.0,0.0,0.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 31,0,0,73.7,0,0,0,0,0,11.9,0,0,0,0,0,71.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 32,620.9,0,109.3,0,41.4,0,0,0,0,0,1488.1,0,0,0,34.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 33,1904.3,8,90.8,0,13.4,0,0,0,238.5,0,0,0,0,0,8,0,14.7,459.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 34,253.6,0,102.9,10.3,0,0,0,0,117.9,0,0,0,0,0,37.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 35,1961.7,0,0,120,0,0,0,0,0,0,0,0,0,0,59.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 36,0,0,62.7,0,0,0,0,0,184.1,0,0,0,0,0,21.4,0,24,683.7,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 37,14.1,0,0,250.5,6.2,0,0,0,0,0,0,0,0,13.7,5.8,0,0,0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,11.2,0.0,0.0,0.0,0.0
Tick 38,0,0,140.7,0,0,0,0,0,0,0,0,0,0,0,21.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 39,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 40,0,0,79,0,0,0,0,0,12,0,0,0,0,0,33.7,0,0,0,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 41,0,0,0,0,0,0,0,0,174.9,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 42,0,0,203.4,0,0,0,0,0,6.5,0,0,0,0,0,39.8,521.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 43,2346.6,0,0,153,0,0,0,0,0,0,0,0,0,0,19.1,0,0,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 44,558.8,13.3,0,388.5,0,0,0,0,0,0,0,0,0,0,17.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 45,6.7,0,300.8,0,0,0,0,0,103.1,0,0,0,26.7,0,62.5,0,0,0,0.0,0.0,0.0,0.0,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 46,6845.3,357.3,531.7,0,0,0,0,0,0,0,0,0,0,25.5,0,0,0,0,0.0,0.0,0.0,0.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 47,0,0,861.8,0,0,0,0,0,0,0,0,0,320.9,0,18.3,0,0,0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 48,13342.7,0,1370.6,0,0,0,0,0,1458.6,0,0,32,0,0,0,0,0,0,0.0,0.0,0.0,19.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.1,0.0,0.0,0.0
Tick 49,0,0,717.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,24.7,0.0,0.0,0.0,21.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 50,0,0,363,0,0,0,0,0,83.8,0,0,41.5,0,0,0,0,0,0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 51,7792.3,63,448.8,0,0,0,26.9,0,0,0,0,0,0,0,0,0,34.7,1065.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
